professor_id,name,avg_rating,department
seyed,A Seyed,,
goldman_aaron,Aaron Goldman,,
posner,Aaron Posner,,
pradhan,Abani Pradhan,4.2,
morgan_abbey,Abbey Morgan,,
kadry,Abdel-Razak Kadry,,
dasgupta_abhijit,Abhijit Dasgupta,4.25,
bickford,Abigail Bickford,,
mcewen,Abigail McEwen,2.6364,
romirowsky,Abigail Romirowsky,,
trozenski,Abigail Trozenski,,
jawahery,Abolhassan Jawahery,4.4,
kagan,Abram Kagan,2.7,
beissel,Adam Beissel,,
binkley,Adam Binkley,5.0,
hsieh,Adam Hsieh,3.8889,
nixon,Adam Nixon,,
porter_adam,Adam Porter,2.6429,
mahalel,Adi Mahalel,2.7778,
hassam,Adil Hassam,4.4286,
ferguson,Adina Ferguson,,
vijay,Aditi Vijay,5.0,
fang_adriane,Adriane Fang,3.5,
flynn_adrianne,Adrianne Flynn,,
papamarcou,Adrianos Papamarcou,4.3333,
iliadis,Agisilaos Iliadis,2.4444,
rosenthal_aharona,Aharona Rosenthal,,
karimi-hakkak,Ahmad Karimi-Hakkak,5.0,
aydilek,Ahmet Aydilek,3.8571,
karamustafa,Ahmet Karamustafa,5.0,
revuelta,Aida Garcia Revuelta,,
lyon,Aidan Lyon,,
watkins-butler,Akilah Watkins-Butler,,
drew_alan,Alan Drew,1.0,
kaufman_alan,Alan Kaufman,2.6154,
lehman,Alan Lehman,4.4444,
neustadtl,Alan Neustadtl,4.0,
peel,Alan Peel,3.5,
pritchard_alan,Alan Pritchard,,
siegfried,Alan Siegfried,,
murray,Alana Murray,,
torrents,Alba Torrents,2.8182,
kyle,Albert Kyle,3.3333,
belloni,Alberto Belloni,2.4839,
bolatto,Alberto Bolatto,3.2143,
cabrera_alberto,Alberto Cabrera,2.5,
rossi_alberto,Alberto Rossi,,
mercado,Alejandra Mercado,4.0,
knoks,Aleks Knoks,,
joensen,Alex Joensen,,
lopatka,Alex Lopatka,,
romberg,Alexa Romberg,,
barg,Alexander Barg,2.5,
chen_alexander,Alexander Chen,4.6667,
dubrovin,Alexander Dubrovin,,
graves,Alexander Graves,,
nagel_alexander,Alexander Nagel,,
pyles,Alexander Pyles,,
quinones,Alexander Quinones,,
roytburd,Alexander Roytburd,,
ruygrok,Alexander Ruygrok,,
shackman,Alexander Shackman,5.0,
williams_alexander,Alexander Williams,3.8,
bely,Alexandra Bely,3.4138,
calloway,Alexandra Calloway,4.4444,
aliev,Alexey Aliev,,
gorshkov,Alexey Gorshkov,,
lothian,Alexis Lothian,3.2727,
ruiz-barradas,Alfredo Ruiz-Barradas,,
abasi,Ali Abasi,,
haghani_ali,Ali Haghani,2.0,
namazi,Ali Namazi,,
cook_alice,Alice Cook,,
mignerey,Alice Mignerey,1.9014,
wang_alice,Alice Wang,2.875,
thomas_alicia,Alicia Thomas,,
khaligh,Alireza Khaligh,3.5,
barlow_alison,Alison Barlow,,
jovanovic,Alison Jovanovic,,
drazen,Allan Drazen,2.1429,
laino,Allan Laino,,
wigfield,Allan Wigfield,5.0,
davis_allen,Allen Davis,3.3333,
eney_allen,Allen Eney,4.25,
hazelton,Allen Hazelton,3.0,
place,Allen Place,,
schick,Allen Schick,2.0,
stairs,Allen Stairs,2.6364,
winkelmann,Allen Winkelmann,3.3077,
druin,Allison Druin,,
lafave,Allison LaFave,,
meisch,Allison Meisch,,
patch,Allison Patch,,
bhargava,Alok Bhargava,,
mayes,Alvin Mayes,,
brooks_alyssa,Alyssa Brooks,,
neuner,Alyssa Neuner,,
allen_amanda,Amanda Allen,4.2,
bachert,Amanda Bachert,,
bailey_amanda,Amanda Bailey,,
even_amanda,Amanda Even,,
fiore,Amanda Fiore,2.2,
hall_amanda,Amanda Hall,5.0,
irions,Amanda Irions,,
olson_amanda,Amanda Olson,,
revisky,Amanda Revisky,,
torres_amanda,Amanda Torres,,
dees,Amber Dees,,
westcott-baker,Amber Westcott-Baker,,
amde,Amde Amde,3.0,
bearne,Amee Bearne,,
arria,Amelia Arria,,
gholampour,Amin Gholampour,4.25,
riaz,Amir Riaz,2.4737,
sapkota_amir,Amir Sapkota,2.8,
bubna,Amit Bubna,,
khawaja,Amna Khawaja,,
deshpande,Amol Deshpande,2.9032,
baz,Amr Baz,5.0,
alexander_amy,Amy Alexander,,
brown_amy,Amy Brown,3.5,
burk_amy,Amy Burk,5.0,
fisher_amy,Amy Fisher,4.6667,
karlsson,Amy Karlsson,4.0,
lewin_amy,Amy Lewin,4.0,
mullin,Amy Mullin,1.7143,
pate_amy,Amy Pate,5.0,
sapkota_amy,Amy Sapkota,,
vaillancourt,Amy Vaillancourt,,
voltz,Amy Voltz,,
wang_an,An Wang,,
garcia_ana_acedo,Ana Acedo Garcia,4.2222,
palla-kane,Ana Palla-Kane,,
rodriguez_ana,Ana Rodriguez,2.2857,
sanchez-rivera,Ana Sanchez-Rivera,5.0,
barber_ana_taboada,Ana Taboada Barber,,
berea,Anamaria Berea,,
patwardhan,Anand Patwardhan,,
tosouni,Anastasia Tosouni,,
marshall_andre,Andre Marshall,,
tits,Andre Tits,3.3333,
chronis-tuscano,Andrea Chronis-Tuscano,4.0,
frisch_andrea,Andrea Frisch,3.0,
mcgray,Andrea McGray,,
romeo,Andrea Romeo,,
wiggins_andrea,Andrea Wiggins,,
vedernikov,Andrei Vedernikov,2.6447,
de_los_reyes_andres,Andres De Los Reyes,5.0,
villarreal,Andres Villarreal,,
baldwin_andrew,Andrew Baldwin,5.0,
becnel,Andrew Becnel,3.5,
brantlinger,Andrew Brantlinger,,
casertano,Andrew Casertano,1.4444,
childs,Andrew Childs,4.625,
cissna,Andrew Cissna,5.0,
delfino_andrew,Andrew Delfino,5.0,
elmore_andrew,Andrew Elmore,,
ginsberg,Andrew Ginsberg,5.0,
harris_andrew,Andrew Harris,3.5,
kellett,Andrew Kellett,,
knoll,Andrew Knoll,,
lounder,Andrew Lounder,,
pressman,Andrew Pressman,,
ristvey,Andrew Ristvey,,
schonebaum,Andrew Schonebaum,4.875,
smith_andrew,Andrew Smith,,
sweeting,Andrew Sweeting,2.5,
venezia,Andrew Venezia,,
williams_andrew,Andrew Williams,,
wolvin,Andrew Wolvin,5.0,
peytchev,Andrey Peytchev,,
skuja,Andris Skuja,1.9167,
georgievska-shine,Aneta Georgievska-Shine,3.0,
black_angela,Angela Black,4.7273,
jackson_angela,Angela Jackson,,
jones_angela,Angela Jones,3.4444,
mazur-gray,Angela Mazur-Gray,,
stoltz_angela,Angela Stoltz,,
gillyard,Angelisa Gillyard,,
plane_angelisa,Angelisa Plane,,
murphy_angus,Angus Murphy,1.0,
deane,Anil Deane,,
roy_anindo,Anindo Roy,,
gopal_anita,Anita Gopal,,
sanyal,Anita Sanyal,5.0,
ketterl,Anja Ketterl,,
srivastava_ankur,Ankur Srivastava,3.7857,
